Date,AAPL,MSFT,SPY,TSLA
2021-01-04,126.54423522949219,210.8442840576172,348.2993469238281,243.2566680908203
2021-01-05,128.1087646484375,211.0476837158203,350.6982421875,245.0366668701172
2021-01-06,123.79644775390625,205.57534790039062,352.7948303222656,251.9933319091797
2021-01-07,128.02078247070312,211.42544555664062,358.0365905761719,272.0133361816406
2021-01-08,129.1258087158203,212.71359252929688,360.0765380859375,293.3399963378906
2021-01-11,126.12372589111328,210.6505889892578,357.6493225097656,270.39666748046875
2021-01-12,125.94771575927734,208.1710662841797,357.724853515625,283.14666748046875
2021-01-13,127.99141693115234,209.53672790527344,358.688232421875,284.8033447265625
2021-01-14,126.05526733398438,206.32113647460938,357.4320983886719,281.6666564941406
2021-01-15,124.32449340820312,205.96278381347656,354.8254699707031,275.38665771484375
2021-01-19,124.99919891357422,209.6335906982422,357.611572265625,281.51666259765625
2021-01-20,129.10618591308594,217.28517150878906,362.5604248046875,283.48333740234375
2021-01-21,133.83900451660156,217.8953399658203,362.8909606933594,281.663330078125
2021-01-22,135.99029541015625,218.8445281982422,361.6065368652344,282.21331787109375
2021-01-25,139.75503540039062,222.3119354248047,363.03265380859375,293.6000061035156
2021-01-26,139.98968505859375,225.02392578125,362.46600341796875,294.36334228515625
2021-01-27,138.91404724121094,225.5759735107422,353.60711669921875,288.0533447265625
2021-01-28,134.0541229248047,231.41636657714844,356.64825439453125,278.4766540527344
2021-01-29,129.03770446777344,224.66554260253906,349.50830078125,264.510009765625
2021-02-01,131.16946411132812,232.11366271972656,355.3260498046875,279.9366760253906
2021-02-02,132.0006561279297,231.9781494140625,360.35040283203125,290.92999267578125
2021-02-03,130.973876953125,235.35836791992188,360.6337585449219,284.89666748046875
2021-02-04,134.34751892089844,234.3994903564453,364.73260498046875,283.3299865722656
2021-02-05,133.93124389648438,234.58351135253906,366.16815185546875,284.07666015625
2021-02-08,134.07821655273438,234.84503173828125,368.8125915527344,287.8066711425781
2021-02-09,133.19679260253906,236.1041717529297,368.56707763671875,283.1533203125
2021-02-10,132.58963012695312,235.1840362548828,368.406494140625,268.2733459472656
2021-02-11,132.33497619628906,236.801513671875,369.00140380859375,270.5533447265625
2021-02-12,132.57000732421875,237.28578186035156,370.8243103027344,272.0400085449219
2021-02-16,130.43511962890625,236.03634643554688,370.5031433105469,265.40667724609375
2021-02-17,128.13369750976562,237.0653533935547,370.588134765625,266.04998779296875
2021-02-18,127.02714538574219,236.66732788085938,369.0108642578125,262.4599914550781
2021-02-19,127.18380737304688,233.9297332763672,368.35931396484375,260.4333190917969
2021-02-22,123.39383697509766,227.65847778320312,365.5259704589844,238.1666717529297
2021-02-23,123.25675201416016,226.4547119140625,365.96978759765625,232.94667053222656
2021-02-24,122.75727844238281,227.6973114013672,370.00262451171875,247.33999633789062
2021-02-25,118.48747253417969,222.2997589111328,361.08709716796875,227.4066619873047
2021-02-26,118.75189208984375,225.59071350097656,359.2264709472656,225.1666717529297
2021-03-01,125.14682006835938,230.01751708984375,367.93426513671875,239.47666931152344
2021-03-02,122.53205108642578,227.0371551513672,365.0632019042969,228.81333923339844
2021-03-03,119.53533172607422,220.91152954101562,360.2276306152344,217.73333740234375
2021-03-04,117.6452407836914,220.1057586669922,355.76995849609375,207.14666748046875
2021-03-05,118.9085693359375,224.83352661132812,362.3149108886719,199.31666564941406
2021-03-08,113.9532241821289,220.74652099609375,360.5109558105469,187.6666717529297
2021-03-09,118.58540344238281,226.9498291015625,365.6582336425781,224.52667236328125
2021-03-10,117.49835968017578,225.6295166015625,367.93426513671875,222.68666076660156
2021-03-11,119.4374008178711,230.20193481445312,371.6648254394531,233.1999969482422
2021-03-12,118.52664947509766,228.8622589111328,372.1654052734375,231.2433319091797
2021-03-15,121.4254150390625,227.94970703125,374.3847961425781,235.97999572753906
2021-03-16,122.97274780273438,230.76498413085938,373.91259765625,225.6266632080078
2021-03-17,122.17948913574219,230.11456298828125,375.1875915527344,233.93666076660156
2021-03-18,118.03697967529297,223.9792022705078,369.72869873046875,217.72000122070312
2021-03-19,117.5081558227539,223.62002563476562,369.04461669921875,218.2899932861328
2021-03-22,120.83783721923828,229.09523010253906,371.99139404296875,223.3333282470703
2021-03-23,120.00541687011719,230.63877868652344,369.06353759765625,220.72000122070312
2021-03-24,117.6060791015625,228.58074951171875,367.1874084472656,210.08999633789062
2021-03-25,118.09573364257812,225.5518798828125,369.25311279296875,213.4633331298828
2021-03-26,118.70291137695312,229.5709228515625,375.2035827636719,206.23666381835938
2021-03-29,118.87918853759766,228.3671417236328,375.0141296386719,203.76333618164062
2021-03-30,117.42001342773438,225.07618713378906,374.0191650390625,211.8733367919922
2021-03-31,119.62347412109375,228.8816680908203,375.53515625,222.64332580566406
2021-04-01,120.45589447021484,235.26942443847656,379.590576171875,220.5833282470703
2021-04-05,123.2959213256836,241.79310607910156,385.0388488769531,230.35000610351562
2021-04-06,123.59950256347656,240.6184539794922,384.8115539550781,230.5399932861328
2021-04-07,125.25455474853516,242.59881591796875,385.25689697265625,223.6566619873047
2021-04-08,127.66363525390625,245.85096740722656,387.0856018066406,227.93333435058594
2021-04-09,130.24908447265625,248.37501525878906,389.8997802734375,225.67333984375
2021-04-12,128.52545166015625,248.43325805664062,390.0419006347656,233.9933319091797
2021-04-13,131.64944458007812,250.93785095214844,391.19781494140625,254.10667419433594
2021-04-14,129.29908752441406,248.1226043701172,389.86187744140625,244.07666015625
2021-04-15,131.71803283691406,251.91835021972656,394.0499267578125,246.28334045410156
